Test,HardBrakes,NegVel,NegGap,MinGap,MaxAccel
lead_stationary,6,1,1,-4.44238156847898,0.215126307866885
lead_constant_speed,0,0,0,34.8921495435994,0.190000000000001
lead_brake_moderate,0,0,0,20.6038251240579,0.190000000000001
lead_brake_hard,7,1,0,2.37881998121475,0.770352288310435
lead_accel_after_stop,6,1,1,-4.44238156847898,2
lead_cutin_close,6,1,1,-4.44238156847898,2
lead_cutout,0,0,0,34.8921495435994,0.190000000000001
stop_and_go,7,1,0,3.00887940555097,2
vary_timegap,0,0,0,32.084166586446,0.403539199328216
noisy_lead,0,0,0,34.0117196704177,0.537290653199162
